"g_id","g_link"
"206119","https://store.steampowered.com/app/206119/Rocksmith__3_Doors_Down__Loser/?snr=1_241_4_casual_104_1481"
"206121","https://store.steampowered.com/app/206121/Rocksmith__B_B_King__The_Thrill_Is_Gone/?snr=1_241_4_casual_104_1130"
"206122","https://store.steampowered.com/app/206122/Rocksmith__The_Blues_Brothers_Band__Soul_Man/?snr=1_241_4_casual_104_1170"
"206123","https://store.steampowered.com/app/206123/Rocksmith__Albert_King_with_Stevie_Ray_Vaughan__Born_Under_a_Bad_Sign/?snr=1_241_4_casual_104_1167"
"206124","https://store.steampowered.com/app/206124/Rocksmith__Foster_the_People__Pumped_Up_Kicks/?snr=1_241_4_casual_104_1158"
"206125","https://store.steampowered.com/app/206125/Rocksmith__Evanescence__Bring_Me_to_Life/?snr=1_241_4_casual_104_1129"
"206126","https://store.steampowered.com/app/206126/Rocksmith__Maroon_5__This_Love/?snr=1_241_4_casual_104_1144"
"206127","https://store.steampowered.com/app/206127/Rocksmith__Judas_Priest__Breaking_the_Law/?snr=1_241_4_casual_104_1145"
"206128","https://store.steampowered.com/app/206128/Rocksmith__Judas_Priest__Living_After_Midnight/?snr=1_241_4_casual_104_1459"
"206129","https://store.steampowered.com/app/206129/Rocksmith__Judas_Priest__Painkiller/?snr=1_241_4_casual_104_1367"
"206131","https://store.steampowered.com/app/206131/Rocksmith__The_Police__Roxanne/?snr=1_241_4_casual_104_1440"
"206132","https://store.steampowered.com/app/206132/Rocksmith__The_Police__Message_In_A_Bottle/?snr=1_241_4_casual_104_1372"
"206133","https://store.steampowered.com/app/206133/Rocksmith__The_Police__Synchronicity_II/?snr=1_241_4_casual_104_1478"
"206135","https://store.steampowered.com/app/206135/Rocksmith__The_Offspring__Self_Esteem/?snr=1_241_4_casual_104_1370"
"206136","https://store.steampowered.com/app/206136/Rocksmith__The_Offspring__Gone_Away/?snr=1_241_4_casual_104_1220"
"206137","https://store.steampowered.com/app/206137/Rocksmith__The_Offspring__Come_Out_and_Play/?snr=1_241_4_casual_104_1377"
"206139","https://store.steampowered.com/app/206139/Rocksmith__My_Chemical_Romance__Welcome_to_the_Black_Parade/?snr=1_241_4_casual_104_1088"
"206140","https://store.steampowered.com/app/206140/Rocksmith__My_Chemical_Romance__Na_Na_Na_Na_Na_Na_Na_Na/?snr=1_241_4_casual_104_1373"
"206141","https://store.steampowered.com/app/206141/Rocksmith__My_Chemical_Romance__Planetary_GO/?snr=1_241_4_casual_104_1486"
"206143","https://store.steampowered.com/app/206143/Rocksmith__Queen__Bohemian_Rhapsody/?snr=1_241_4_casual_104_978"
"206144","https://store.steampowered.com/app/206144/Rocksmith__Queen__Stone_Cold_Crazy/?snr=1_241_4_casual_104_1483"
"206145","https://store.steampowered.com/app/206145/Rocksmith__Queen__Fat_Bottomed_Girls/?snr=1_241_4_casual_104_1223"
"206146","https://store.steampowered.com/app/206146/Rocksmith__Queen__Keep_Yourself_Alive/?snr=1_241_4_casual_104_1227"
"206147","https://store.steampowered.com/app/206147/Rocksmith__Queen__Killer_Queen/?snr=1_241_4_casual_104_1163"
"206149","https://store.steampowered.com/app/206149/Rocksmith__Blue_Oyster_Cult__Godzilla/?snr=1_241_4_casual_104_1375"
